template_id,matched_set_id,base_profile_id,profile_slot,occupation_id,occupation_tier,target_role,onet_soc_code,onet_title,source_url,years_experience,education,skills,employer_history,experience_summary,achievement
maintenance_worker_p3,maintenance_worker_p3,maintenance_worker_p3,3,maintenance_worker,frontline,Facilities Maintenance Lead,49-9071.00,"Maintenance and Repair Workers, General",https://www.onetonline.org/link/summary/49-9071.00,7,Technical diploma in Industrial Maintenance,preventive maintenance; electrical troubleshooting; HVAC basics; work-order systems; safety procedures,Redwood Apartments; Summit Building Care,"Handled electrical, mechanical, and general repairs across a multi-building residential portfolio.",Cut average urgent-response time by 22% and improved first-visit resolution by 12%.
maintenance_worker_p4,maintenance_worker_p4,maintenance_worker_p4,4,maintenance_worker,frontline,Facilities Maintenance Lead,49-9071.00,"Maintenance and Repair Workers, General",https://www.onetonline.org/link/summary/49-9071.00,7,Technical diploma in Industrial Maintenance,preventive maintenance; electrical troubleshooting; HVAC basics; work-order systems; safety procedures,Beacon Schools; Westline Maintenance,"Supported preventive maintenance, inspections, repairs, and vendor coordination across school facilities.",Completed 98% of scheduled inspections on time and reduced open work-order backlog by 20%.
logistician_p1,logistician_p1,logistician_p1,1,logistician,frontline,Supply Chain Operations Analyst,13-1081.00,Logisticians,https://www.onetonline.org/link/summary/13-1081.00,6,Bachelor's degree in Supply Chain Management,demand planning; inventory analysis; transportation coordination; ERP systems; supplier management,Harbor Consumer Goods; Northline Logistics,"Coordinated inbound supply, inventory planning, and outbound transportation across regional warehouses.",Improved on-time delivery from 89% to 96% and lowered expedited-freight spending by 14%.
logistician_p2,logistician_p2,logistician_p2,2,logistician,frontline,Supply Chain Operations Analyst,13-1081.00,Logisticians,https://www.onetonline.org/link/summary/13-1081.00,6,Bachelor's degree in Supply Chain Management,demand planning; inventory analysis; transportation coordination; ERP systems; supplier management,Summit Medical Supply; Axis Distribution,"Managed replenishment parameters, supplier follow-up, and exception reporting for critical products.",Reduced stockouts by 18% while lowering excess inventory by 9%.
logistician_p3,logistician_p3,logistician_p3,3,logistician,frontline,Supply Chain Operations Analyst,13-1081.00,Logisticians,https://www.onetonline.org/link/summary/13-1081.00,6,Bachelor's degree in Supply Chain Management,demand planning; inventory analysis; transportation coordination; ERP systems; supplier management,Crest Foods; BluePeak Transport,"Built weekly supply plans and worked with plants, carriers, and customer teams to resolve constraints.",Raised forecast adherence by 11 percentage points and reduced late orders by 16%.
logistician_p4,logistician_p4,logistician_p4,4,logistician,frontline,Supply Chain Operations Analyst,13-1081.00,Logisticians,https://www.onetonline.org/link/summary/13-1081.00,6,Bachelor's degree in Supply Chain Management,demand planning; inventory analysis; transportation coordination; ERP systems; supplier management,Orion Equipment; Valley Warehousing,"Analyzed network inventory, scheduled transfers, and coordinated production and delivery priorities.",Cut interfacility transfer time by 20% and improved inventory accuracy to 98%.
management_analyst_p1,management_analyst_p1,management_analyst_p1,1,management_analyst,knowledge,Management Analyst,13-1111.00,Management Analysts,https://www.onetonline.org/link/summary/13-1111.00,6,Bachelor's degree in Business Analytics,market research; process analysis; financial modeling; SQL; executive presentations,BrightPath Advisory; Meridian Group,"Built operating models, interviewed stakeholders, and prepared recommendations for growth and cost-improvement projects.",Identified initiatives projected to improve annual contribution margin by 8%.
management_analyst_p2,management_analyst_p2,management_analyst_p2,2,management_analyst,knowledge,Management Analyst,13-1111.00,Management Analysts,https://www.onetonline.org/link/summary/13-1111.00,6,Bachelor's degree in Business Analytics,market research; process analysis; financial modeling; SQL; executive presentations,Northbridge Consulting; Alder Strategy,"Analyzed customer, financial, and operational data and translated findings into executive decision materials.",Developed a process redesign estimated to reduce annual operating costs by $1.2 million.
management_analyst_p3,management_analyst_p3,management_analyst_p3,3,management_analyst,knowledge,Management Analyst,13-1111.00,Management Analysts,https://www.onetonline.org/link/summary/13-1111.00,6,Bachelor's degree in Business Analytics,market research; process analysis; financial modeling; SQL; executive presentations,CivicWorks Partners; Summit Advisory,"Evaluated service delivery, benchmarked peer organizations, and supported implementation planning.",Prioritized changes that shortened expected cycle time by 23%.
management_analyst_p4,management_analyst_p4,management_analyst_p4,4,management_analyst,knowledge,Management Analyst,13-1111.00,Management Analysts,https://www.onetonline.org/link/summary/13-1111.00,6,Bachelor's degree in Business Analytics,market research; process analysis; financial modeling; SQL; executive presentations,Clearview Analytics; Harbor Consulting,"Created market assessments, KPI systems, and scenario models for business-unit leaders.",Improved forecast accuracy by 12 percentage points and standardized monthly performance reviews.
project_management_specialist_p1,project_management_specialist_p1,project_management_specialist_p1,1,project_management_specialist,knowledge,Project Management Specialist,13-1082.00,Project Management Specialists,https://www.onetonline.org/link/summary/13-1082.00,6,Bachelor's degree in Business Administration,project planning; risk management; stakeholder coordination; budgeting; status reporting,Vertex Programs; Alpine Services,"Managed cross-functional workplans, dependencies, risks, and executive reporting for operational initiatives.",Delivered a multi-team rollout three weeks early and 6% under budget.
project_management_specialist_p2,project_management_specialist_p2,project_management_specialist_p2,2,project_management_specialist,knowledge,Project Management Specialist,13-1082.00,Project Management Specialists,https://www.onetonline.org/link/summary/13-1082.00,6,Bachelor's degree in Business Administration,project planning; risk management; stakeholder coordination; budgeting; status reporting,Nova Implementation Group; Harbor Systems,"Coordinated requirements, vendor activities, testing, and launch readiness for client implementations.",Raised milestone completion from 82% to 95% and reduced open launch risks by 30%.
project_management_specialist_p3,project_management_specialist_p3,project_management_specialist_p3,3,project_management_specialist,knowledge,Project Management Specialist,13-1082.00,Project Management Specialists,https://www.onetonline.org/link/summary/13-1082.00,6,Bachelor's degree in Business Administration,project planning; risk management; stakeholder coordination; budgeting; status reporting,Crescent Solutions; Meridian Projects,"Maintained schedules, decision logs, budgets, and stakeholder communications across concurrent projects.",Reduced average issue-resolution time by 21% and improved status-report accuracy.
project_management_specialist_p4,project_management_specialist_p4,project_management_specialist_p4,4,project_management_specialist,knowledge,Project Management Specialist,13-1082.00,Project Management Specialists,https://www.onetonline.org/link/summary/13-1082.00,6,Bachelor's degree in Business Administration,project planning; risk management; stakeholder coordination; budgeting; status reporting,Pioneer Transformation; Lakeside Partners,"Led project governance, resource planning, and change-management activities for process improvements.",Completed 94% of milestones on time and increased stakeholder adoption to 90%.
computer_systems_analyst_p1,computer_systems_analyst_p1,computer_systems_analyst_p1,1,computer_systems_analyst,knowledge,Computer Systems Analyst,15-1211.00,Computer Systems Analysts,https://www.onetonline.org/link/summary/15-1211.00,6,Bachelor's degree in Information Systems,requirements analysis; SQL; systems integration; process mapping; user acceptance testing,Northstar Technology; Harbor Software,Translated business requirements into system specifications and coordinated testing for enterprise applications.,Reduced production defects by 20% and shortened requirements approval time by 17%.
computer_systems_analyst_p2,computer_systems_analyst_p2,computer_systems_analyst_p2,2,computer_systems_analyst,knowledge,Computer Systems Analyst,15-1211.00,Computer Systems Analysts,https://www.onetonline.org/link/summary/15-1211.00,6,Bachelor's degree in Information Systems,requirements analysis; SQL; systems integration; process mapping; user acceptance testing,Crestline Digital; Meridian Health IT,"Mapped workflows, analyzed data interfaces, and supported configuration and release validation.",Improved interface success rates to 99% and cut support tickets after release by 15%.
computer_systems_analyst_p3,computer_systems_analyst_p3,computer_systems_analyst_p3,3,computer_systems_analyst,knowledge,Computer Systems Analyst,15-1211.00,Computer Systems Analysts,https://www.onetonline.org/link/summary/15-1211.00,6,Bachelor's degree in Information Systems,requirements analysis; SQL; systems integration; process mapping; user acceptance testing,BluePeak Systems; Valley Financial,"Led requirements workshops, data validation, and user-acceptance testing for platform enhancements.",Reduced rework by 18% and increased first-cycle test completion to 94%.
computer_systems_analyst_p4,computer_systems_analyst_p4,computer_systems_analyst_p4,4,computer_systems_analyst,knowledge,Computer Systems Analyst,15-1211.00,Computer Systems Analysts,https://www.onetonline.org/link/summary/15-1211.00,6,Bachelor's degree in Information Systems,requirements analysis; SQL; systems integration; process mapping; user acceptance testing,Orion Applications; Summit Services,"Documented system needs, evaluated solution options, and coordinated business and engineering teams.",Shortened change-request cycle time by 22% while meeting security and audit requirements.
financial_analyst_p1,financial_analyst_p1,financial_analyst_p1,1,financial_analyst,knowledge,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,https://www.onetonline.org/link/summary/13-2051.00,6,Bachelor's degree in Finance,financial modeling; valuation; variance analysis; Excel; investment research,Harbor Capital; Meridian Finance,"Built forecasts, evaluated investments, and prepared performance and risk materials for senior decision-makers.","Improved forecast accuracy by 10 percentage points and identified $900,000 in annual savings."
financial_analyst_p2,financial_analyst_p2,financial_analyst_p2,2,financial_analyst,knowledge,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,https://www.onetonline.org/link/summary/13-2051.00,6,Bachelor's degree in Finance,financial modeling; valuation; variance analysis; Excel; investment research,Northbridge Investments; Summit Holdings,"Analyzed company performance, industry drivers, and valuation scenarios for portfolio reviews.",Developed recommendations that improved risk-adjusted portfolio positioning.
financial_analyst_p3,financial_analyst_p3,financial_analyst_p3,3,financial_analyst,knowledge,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,https://www.onetonline.org/link/summary/13-2051.00,6,Bachelor's degree in Finance,financial modeling; valuation; variance analysis; Excel; investment research,Crestline Corporate Finance; BlueRiver Partners,"Prepared operating models, cash-flow analyses, and investment committee materials.",Reduced monthly reporting time by 25% and improved scenario-model consistency.
financial_analyst_p4,financial_analyst_p4,financial_analyst_p4,4,financial_analyst,knowledge,Financial and Investment Analyst,13-2051.00,Financial and Investment Analysts,https://www.onetonline.org/link/summary/13-2051.00,6,Bachelor's degree in Finance,financial modeling; valuation; variance analysis; Excel; investment research,Pioneer Asset Research; Valley Advisory,"Conducted financial statement analysis, market research, and sensitivity testing for investment decisions.",Expanded coverage by 20% while maintaining review and documentation standards.
